Name                                                         Type        File
EventStatus                                                  ValueSet    valuesets/EventStatus.fsh
EventStatus                                                  CodeSystem  codesystems/EventStatus.fsh
JP_AllergyIntolerance                                        Profile     profiles/JP_AllergyIntolerance.fsh
JP_Condition                                                 Profile     profiles/JP_Condition.fsh
JP_Coverage                                                  Profile     profiles/JP_Coverage.fsh
JP_Coverage_InsuredPersonNumber                              Extension   extensions/JP_Coverage_InsuredPersonNumber.fsh
JP_Coverage_InsuredPersonSubNumber                           Extension   extensions/JP_Coverage_InsuredPersonSubNumber.fsh
JP_Coverage_InsuredPersonSymbol                              Extension   extensions/JP_Coverage_InsuredPersonSymbol.fsh
JP_DiagnosticReport_Common                                   Profile     profiles/JP_DiagnosticReport_Common.fsh
JP_DiagnosticReport_LabResult                                Profile     profiles/JP_DiagnosticReport_LabResult.fsh
JP_DiagnosticReport_Radiology                                Profile     profiles/JP_DiagnosticReport_Radiology.fsh
JP_Encounter                                                 Profile     profiles/JP_Encounter.fsh
JP_HumanName                                                 Profile     profiles/JP_HumanName.fsh
JP_ImagingStudy_Radiology                                    Profile     profiles/JP_ImagingStudy_Radiology.fsh
JP_Location                                                  Profile     profiles/JP_Location.fsh
JP_Medication                                                Profile     profiles/JP_Medication.fsh
JP_MedicationAdministration                                  Profile     profiles/JP_MedicationAdministration.fsh
JP_MedicationAdministration_DosageMethod_MethodComment       Extension   extensions/JP_MedicationAdministration_DosageMethod_MethodComment.fsh
JP_MedicationAdministration_DosageRate_RateComment           Extension   extensions/JP_MedicationAdministration_DosageRate_RateComment.fsh
JP_MedicationAdministration_DosageRoute_RouteComment         Extension   extensions/JP_MedicationAdministration_DosageRoute_RouteComment.fsh
JP_MedicationAdministration_DosageSite_SiteComment           Extension   extensions/JP_MedicationAdministration_DosageSite_SiteComment.fsh
JP_MedicationAdministration_Dosage_DosageComment             Extension   extensions/JP_MedicationAdministration_Dosage_DosageComment.fsh
JP_MedicationAdministration_Dosage_LineComment               Extension   extensions/JP_MedicationAdministration_Dosage_LineComment.fsh
JP_MedicationAdministration_Injection                        Profile     profiles/JP_MedicationAdministration_Injection.fsh
JP_MedicationAdministration_Location                         Extension   extensions/JP_MedicationAdministration_Location.fsh
JP_MedicationAdministration_RequestAuthoredOn                Extension   extensions/JP_MedicationAdministration_RequestAuthoredOn.fsh
JP_MedicationAdministration_RequestDepartment                Extension   extensions/JP_MedicationAdministration_RequestDepartment.fsh
JP_MedicationAdministration_Requester                        Extension   extensions/JP_MedicationAdministration_Requester.fsh
JP_MedicationAdministration_UncategorizedComment             Extension   extensions/JP_MedicationAdministration_UncategorizedComment.fsh
JP_MedicationDispense                                        Profile     profiles/JP_MedicationDispense.fsh
JP_MedicationDispenseBase                                    Profile     profiles/JP_MedicationDispenseBase.fsh
JP_MedicationDispense_Injection                              Profile     profiles/JP_MedicationDispense_Injection.fsh
JP_MedicationDispense_Preparation                            Extension   extensions/JP_MedicationDispense_Preparation.fsh
JP_MedicationRequest                                         Profile     profiles/JP_MedicationRequest.fsh
JP_MedicationRequestBase                                     Profile     profiles/JP_MedicationRequestBase.fsh
JP_MedicationRequest_DispenseRequest_ExpectedRepeatCount     Extension   extensions/JP_MedicationRequest_DispenseRequest_ExpectedRepeatCount.fsh
JP_MedicationRequest_DispenseRequest_InstructionForDispense  Extension   extensions/JP_MedicationRequest_DispenseRequest_InstructionForDispense.fsh
JP_MedicationRequest_DosageInstruction_Device                Extension   extensions/JP_MedicationRequest_DosageInstruction_Device.fsh
JP_MedicationRequest_DosageInstruction_Line                  Extension   extensions/JP_MedicationRequest_DosageInstruction_Line.fsh
JP_MedicationRequest_DosageInstruction_PeriodOfUse           Extension   extensions/JP_MedicationRequest_DosageInstruction_PeriodOfUse.fsh
JP_MedicationRequest_DosageInstruction_UsageDuration         Extension   extensions/JP_MedicationRequest_DosageInstruction_UsageDuration.fsh
JP_MedicationRequest_Injection                               Profile     profiles/JP_MedicationRequest_Injection.fsh
JP_Medication_IngredientStrength_StrengthType                Extension   extensions/JP_Medication_IngredientStrength_StrengthType.fsh
JP_Medication_Ingredient_DrugNo                              Extension   extensions/JP_Medication_Ingredient_DrugNo.fsh
JP_Observation_BodyMeasurement                               Profile     profiles/JP_Observation_BodyMeasurement.fsh
